Año,Trimestre,Provincia,Accesos por cada 100 hab,z_score
2020,4,Entre Ríos,17.78197083072765,0.2437791352814016
2020,4,Formosa,8.268390853815193,-0.7897064398001948
2020,4,Jujuy,13.669623117135359,-0.20295616857176815
2020,4,La Pampa,26.940422171804798,1.2386861391705675
2020,4,La Rioja,13.339129511730942,-0.2388585706823377
2020,4,Mendoza,10.779753857792285,-0.5168903763726983
2020,4,Misiones,11.614898792582805,-0.4261663539433859
2020,4,Neuquén,19.943555550895127,0.4785978505317345
2020,4,Río Negro,18.789319055171752,0.353210060503403
2020,4,Salta,13.088389057411085,-0.2660971752095347
2020,4,San Juan,9.251858120163535,-0.6828697667704271
2020,4,San Luis,23.375314368474104,0.8513989668027923
2020,4,Santa Cruz,11.008682660661702,-0.4920212297359529
2020,4,Santa Fe,23.136769743176906,0.8254852277207451
2020,4,Santiago Del Estero,10.857437164805166,-0.5084514314731671
2020,4,Tierra Del Fuego,22.609569143137627,0.7682140199695926
2020,4,Tucumán,13.57016980842894,-0.2137600468375373
2020,3,Buenos Aires,22.410088053440287,0.7465438569810994
2020,3,Catamarca,11.995288801288368,-0.38484357241882805
2020,3,Chaco,11.102767361905425,-0.4818005576222776
2020,3,Chubut,20.94871530485329,0.5877910363660189
2020,3,Córdoba,23.029708353509868,0.8138548633218973
2020,3,Corrientes,10.993613616681577,-0.49365822018765704
2020,3,Entre Ríos,17.398110879051448,0.20207940459415036
2020,3,Formosa,8.120337229392224,-0.8057899000276818
2020,3,Jujuy,13.820037033679931,-0.18661630351386255
2020,3,La Pampa,26.115702018823033,1.1490945886024122
2020,3,La Rioja,13.341312020771634,-0.23862147890232283
2020,3,Mendoza,10.422355488053226,-0.5557155148147331
2020,3,Misiones,11.331798537010407,-0.45692029001645407
2020,3,Neuquén,19.42045929269766,0.4217725083852243
2020,3,Río Negro,17.54802558517,0.21836503909158608
2020,3,Salta,12.670239307125406,-0.3115218982047652
2020,3,San Juan,9.88083251128296,-0.6145426005622108
2020,3,San Luis,22.8839263803681,0.7980181786338427
2020,3,Santa Cruz,10.697207032526524,-0.5258576582358852
2020,3,Santa Fe,22.677710522681583,0.7756163998303539
2020,3,Santiago Del Estero,10.76484130094044,-0.5185103672101504
2020,3,Tierra Del Fuego,22.771515363810202,0.78580666999306
2020,3,Tucumán,13.184990703555616,-0.25560308065608656
2020,2,Buenos Aires,21.552858404836318,0.6534207131683125
2020,2,Catamarca,11.556666835285702,-0.4324922468271766
2020,2,Chaco,10.646198278920558,-0.5313988752312319
2020,2,Chubut,17.577923412048097,0.22161291979262474
2020,2,Córdoba,22.262629768284135,0.7305250700465294
2020,2,Corrientes,10.613139950481656,-0.5349900896490248
2020,2,Entre Ríos,16.90464963972206,0.1484733936133796
2020,2,Formosa,7.925539742616724,-0.8269512707349435
2020,2,Jujuy,12.246000275261045,-0.3576081161040647
2020,2,La Pampa,25.07384596485546,1.0359149857925387
2020,2,La Rioja,13.267548880443243,-0.2466345656359303
2020,2,Mendoza,10.116652469373573,-0.588924849348215
2020,2,Misiones,11.136919674351834,-0.4780905008030046
2020,2,Neuquén,19.02059866374008,0.37833458143516047
2020,2,Río Negro,17.338453751536527,0.1955986916672503
2020,2,Salta,12.492822821915325,-0.33079512433953967
2020,2,San Juan,8.939786450606132,-0.7167709448402916
2020,2,San Luis,22.440286647722235,0.7498244108476644
2020,2,Santa Cruz,10.650675172081195,-0.5309125383828606
2020,2,Santa Fe,22.01189934872471,0.703287555622131
2020,2,Santiago Del Estero,10.787648634906734,-0.516032745671525
2020,2,Tierra Del Fuego,22.642392447335883,0.7717797030770807
2020,2,Tucumán,12.826796661758182,-0.2945146550766722
2020,1,Buenos Aires,21.208081014212762,0.6159666253603118
2020,1,Catamarca,9.568286447482455,-0.6484953133443853
2020,1,Chaco,10.018358007806318,-0.5996028389574577
